poemname,end,internal,eye,full,rich,identical,slant
poem.13390.txt,0.02267,0.08242,0.00000,0.57778,0.00000,0.00000,3.78471
poem.13504.txt,0.00873,0.00000,0.00000,0.00000,0.00000,0.00000,0.62857
poem.13623.txt,0.01861,0.00000,0.00000,0.76429,0.00000,0.00000,5.83515
poem.13815.txt,0.03318,0.00000,0.00000,3.65667,0.00000,0.00000,0.72000
poem.14051.txt,0.08069,0.04000,0.00000,0.00000,0.00000,0.04193,22.64786
poem.14123.txt,0.01377,0.00000,0.00000,2.46500,0.00000,0.00331,1.28000
poem.14352.txt,0.01389,0.00938,0.00000,3.73095,0.00000,0.00000,3.52333
poem.14355.txt,0.02305,0.01000,0.00000,1.98333,0.00000,0.00000,2.89857
poem.14377.txt,0.07546,0.03429,0.00000,13.01000,0.00000,0.00488,18.50238
poem.14555.txt,0.01206,0.00415,0.00000,4.98333,0.90000,0.00023,34.69889
poem.14631.txt,0.02076,0.02787,0.00000,3.25000,0.00000,0.00804,56.99459
poem.146585.txt,0.03354,0.00000,0.00000,1.70000,0.00000,0.00050,12.77333
poem.146671.txt,0.11334,0.00000,0.00000,15.23333,0.00000,0.00000,40.98357
poem.146674.txt,0.04460,0.00000,0.00000,0.30000,0.00000,0.00000,1.67222
poem.146677.txt,0.02762,0.02400,0.00000,0.00000,0.00000,0.00000,3.62667
poem.146682.txt,0.01190,0.00554,0.00000,15.70817,0.00000,0.00070,245.12690
poem.146683.txt,0.03457,0.02083,0.00000,0.42500,0.86667,0.00013,28.01421
poem.146688.txt,0.02065,0.01190,0.00000,0.00000,0.00000,0.00000,7.54143
poem.146690.txt,0.01009,0.02323,0.00000,0.73333,0.00000,0.00000,8.76606
poem.146711.txt,0.09523,0.01556,0.00000,6.98333,0.00000,0.00185,13.39333
poem.146723.txt,0.00886,0.00000,0.00000,0.00000,0.00000,0.00085,4.48143
poem.146729.txt,0.00248,0.00000,0.00000,0.00000,0.00000,0.00000,0.52000
poem.146739.txt,0.01753,0.00000,0.00000,0.00000,0.00000,0.01157,0.71190
poem.146762.txt,0.01244,0.03484,0.00000,3.15000,0.00000,0.00000,5.22040
poem.146777.txt,0.02041,0.00000,0.00000,0.00000,0.00000,0.00190,3.77333
poem.146786.txt,0.03200,0.00000,0.00000,1.21000,0.00000,0.00000,4.59944
poem.146792.txt,0.02551,0.00000,0.00000,0.00000,0.00000,0.02574,4.84286
poem.146796.txt,0.01544,0.03263,0.00000,1.40000,0.00000,0.00025,7.50167
poem.146799.txt,0.01862,0.02434,0.00000,0.98333,0.00000,0.00050,31.95992
poem.146821.txt,0.00758,0.00000,0.00000,0.60000,0.00000,0.00027,4.72286
poem.146834.txt,0.05048,0.00000,0.00000,1.76667,0.00000,0.00000,1.38667
poem.146835.txt,0.02750,0.00000,0.00000,1.17333,0.00000,0.05580,0.36667
poem.146861.txt,0.02340,0.07143,0.00000,1.10000,0.00000,0.00000,2.55000
poem.14790.txt,0.03036,0.03057,0.00000,0.75000,0.00000,0.00000,6.72571
poem.14958.txt,0.06692,0.01333,0.00000,8.04000,0.00000,0.00000,14.00667
poem.15.txt,0.15234,0.00000,0.00000,6.72333,0.00000,0.00212,3.12667
poem.15266.txt,0.15307,0.01234,0.00000,20.52840,0.00000,0.00078,66.81003
poem.15488.txt,0.02767,0.00000,0.00000,0.00000,0.00000,0.00000,2.46667
poem.15593.txt,0.14939,0.01101,0.00000,21.34540,0.00000,0.00020,57.79095
poem.15741.txt,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
poem.15742.txt,0.01231,0.03864,0.00000,0.73333,0.00000,0.00000,5.28571
poem.15850.txt,0.04646,0.05000,0.00000,7.73667,0.00000,0.00033,11.37524
poem.15868.txt,0.02167,0.04467,0.00000,4.10810,0.00000,0.00025,25.35175
poem.15983.txt,0.02091,0.00000,0.00000,0.00000,0.00000,0.00000,2.30000
poem.15984.txt,0.01066,0.00000,0.00000,2.25000,0.00000,0.00000,0.65000
poem.16327.txt,0.06544,0.00571,0.00000,22.57690,0.00000,0.00047,45.83746
